,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Torbay,47.67,-52.73,69.8,37,40,20.8,CA,1592344542
1,Tabas,33.6,56.92,89.6,19,0,4.7,IR,1592344543
2,Kahului,20.89,-156.47,82.4,61,40,20.8,US,1592344543
3,Khatanga,71.97,102.5,48.51,57,92,10.89,RU,1592344487
4,Bethel,41.37,-73.41,75.99,49,1,9.17,US,1592344543
5,Tasiilaq,65.61,-37.64,37.4,94,100,16.11,GL,1592344470
6,Port Alfred,-33.59,26.89,57.0,85,15,4.0,ZA,1592344544
7,Merrill,45.18,-89.68,82.4,32,1,6.93,US,1592344502
8,Yurginskoye,56.82,67.39,59.56,73,80,8.08,RU,1592344544
9,Atuona,-9.8,-139.03,80.67,76,2,19.55,PF,1592344544
10,Makakilo City,21.35,-158.09,82.4,69,75,8.05,US,1592344377
11,Apatin,45.67,18.98,62.6,93,75,9.17,RS,1592344545
12,Mataura,-46.19,168.86,50.13,76,100,4.25,NZ,1592344470
13,East London,-33.02,27.91,59.14,73,30,8.14,ZA,1592344545
14,Cape Town,-33.93,18.42,50.0,93,0,3.36,ZA,1592344256
15,Cabo San Lucas,22.89,-109.91,93.2,21,40,10.29,MX,1592344336
16,Goderich,43.75,-81.72,70.0,75,0,1.01,CA,1592344500
17,Butaritari,3.07,172.79,82.94,80,2,13.89,KI,1592344546
18,Vaini,-21.2,-175.2,75.2,60,20,10.29,TO,1592344546
19,Luís Correia,-2.88,-41.67,78.98,84,13,5.26,BR,1592344546
20,Norman Wells,65.28,-126.83,68.0,56,20,19.46,CA,1592344498
21,Constitución,-35.33,-72.42,55.15,92,100,12.3,CL,1592344547
22,Beloha,-25.17,45.05,63.07,76,8,12.57,MG,1592344547
23,Boa Viagem,-5.13,-39.73,73.0,89,0,3.13,BR,1592344547
24,Provideniya,64.38,-173.3,57.2,58,36,6.71,RU,1592344548
25,Christchurch,-43.53,172.63,44.6,93,0,1.12,NZ,1592344464
26,Kaitangata,-46.28,169.85,49.87,80,100,4.25,NZ,1592344517
27,Padang,-0.95,100.35,78.17,78,47,5.23,ID,1592344548
28,Port Lincoln,-34.73,135.87,53.31,76,1,4.81,AU,1592344549
29,Albany,42.6,-73.97,81.0,34,0,1.01,US,1592344549
30,Salta,-24.79,-65.41,69.8,49,0,13.87,AR,1592344549
31,Hilo,19.73,-155.09,75.2,88,90,10.36,US,1592344549
32,Calderitas,18.55,-88.25,80.6,88,75,10.51,MX,1592344550
33,New Norfolk,-42.78,147.06,39.0,85,0,1.01,AU,1592344550
34,Richards Bay,-28.78,32.04,60.64,82,69,4.54,ZA,1592344550
35,Busselton,-33.65,115.33,61.0,47,84,22.75,AU,1592344531
36,Calhoun,42.25,-85.0,82.4,39,1,1.97,US,1592344550
37,The Valley,18.22,-63.06,86.0,62,20,14.99,AI,1592344551
38,Hobart,-42.88,147.33,39.99,79,20,8.05,AU,1592344551
